caseid,year,id,age,sex,race,hispanic,racehisp,uscitzn,educ,degree,vetyears,wordsum,cohort,birthmo,zodiac,wrkstat,wrkslf,wrkgovt,marital,sibs,childs,res16,reg16,mobile16,born,region,xnorcsiz,srcbelt,size,vote12,pres12,if12who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,uswar,uswary,relig,denom,other,fund,attend,reliten,pray,prayer,bible,affrmact,wrkwayup,closeblk,closewht,happy,hapmar,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,socrel,socommun,socfrend,socbar,class,rank,satfin,finalter,finrela,unemp,union,getahead,parsol,kidssol,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,chldidel,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,letdie1,suicide1,suicide2,suicide3,suicide4,owngun,pistol,shotgun,rifle,rowngun,hunt,news,tvhours,phone,coop,comprend,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,rushed,bored,helppoor,helpnot,helpsick,helpblk,compuse,webmob,emailmin,emailhr,usewww,wwwhr,wwwmin,genegen,letin1,sexornt,inthisp,intrace1,intrace2,intrace3,spanself,spanint,ballot,version,issp,sampcode,sample,samplerc,rsampcode,phase,vpsu,vstrat,wtss,wtssnr,wtssall,formwt,oversamp,lngthinv,intage,easyget,intethn,mode,intsex,feelevel,intyrs,artexbt,bigbang2,brlawfl,brnotax,cctv,clssmtes,discwk5,emonitor,evolved2,facebook,famorjob,flexhrs1,flickr,found,gendereq,givinffor,givinfusa,googlesn,govtinfo,gvinflu1,gvinflu2,harass5,hlthstrt,hope1,hope2,hope3,hope4,hope5,hope6,huadd,huaddwhy,hunt1,income16,incuspop,intmbile,intrecnt,intstart,intuse,intwkdyh,intwkdym,intwkenh,intwkenm,kidsinhh,leasthrs,linkedin,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,lowpay,pinterst,polgbeco,prvdhlth,prvdold,prvdschl,racethas,racethbl,racethhi,racethna,racethot,racethwh,rcontact,respond,rgroomed,rhlthend,rincom16,rlooks,rweight,sei10,sei10educ,sei10inc,sethrs,snapchat,snsmyear,tumblr,twitter,union1,unionsbd,usualhrs,vine,whatsapp,hotcore,boyorgrl,electron,bigbang,condrift,evolved,earthsun,radioact,viruses,lasers,spend18,partyid,hotcore_r,boyorgrl_r,electron_r,bigbang_r,condrift_r,evolved_r,earthsun_r,radioact_r,viruses_r,science_quiz,lasers_r,lotr2_rev,lotr4_rev,lotr5_rev,lot_scale,future_scale,abany_r,abdefect_r,abpoor_r,abhlth_r,abnomore_r,abrape_r,absingle_r,abortion,social_disconnect,authoritarianism,spkath_r,spkcom_r,spkhomo_r,spkmil_r,spkmslm_r,spkrac_r,tolerance,assisted,social_media,fechld_rev,femrole,obamavote,race2,unionhh,envir_spend,age5,female,fair_r,trust_r,social_trust
59600,2016,1,47,1,1,1,1,,16,3,0,8,1969,,11,1,2,2,1,2,3,3,2,3,1,1,6,4,14,1,3,,4,1,1,2,2,1,3,2,1,3,3,2,2,3,1,2,2,2,1,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,1,3,,,2,4,,,3,0,4,6,1,3,2,4,7,9,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,5,3,3,1,1,1,5,,,1,,,2,1,1,1,1,1,1,1,3,1,1,3,4,4,2,4,,3,1,1,1,1,1,2,2,2,2,,4,5,1,3,1,1,1,1,4,1,1,2,1,2,,,,,,,1,,0,12,,15,0,5,3,,1,1,,,,,1,1,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,86,61,,1,1,2,75,0,,,2,4,3,,,4,,,,,," ",1,3,4,,3,7,1,,,,,,,,,1,,4,26,1,,,,,,,,,1,,,,,,,,,,,2,2,5,1,,,,,,,,1,3,,26,4,3,87.9,95.6,94,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,34,3,1,1,1,1,1,1,1,1,1,10,1,,,,,,1,1,1,1,1,1,1,7,5,,1,1,1,1,1,1,6,2,,4,6,,0,,4,3,0,,,
59601,2016,2,61,1,1,1,1,,12,1,0,5,1955,,8,1,2,2,5,3,0,1,1,2,1,1,6,4,14,1,1,,2,,,1,,3,1,1,1,3,,,1,,1,3,1,,1,3,,,,,,,,,,,,,,,,,,,,2,,1,1,,,4,,,3,0,4,6,2,3,4,2,,,2,,,,2,1,3,1,3,3,3,2,1,3,3,3,1,2,3,3,,,,,,5,2,5,7,,5,3,3,3,1,4,,3,6,2,,,,,,,,2,2,1,2,4,4,,,2,4,1,1,2,2,1,,,,,,,4,1,3,1,1,1,2,2,2,1,2,,2,,,3,5,1,3,1,,30,0,,5,0,,2,3,1,1,,,,,2,2,1,601,10,9,601,1,1,3201,.4784967557,.6302390037,.4784967557,1,1,200,40,,1,1,2,50,1,,,3,4,3,2,,4,1,2,,,2," ",3,4,4,2,3,3,10,,,7,3,6,5,3,8,1,,,19,2,1,1,2000,1,,,,,2,,2,3,2,4,2,2,4,,2,1,1,1,3,,,,,,,,1,3,,19,3,3,38.3,33.9,46.9,,2,,2,2,4,,,2,2,2,2,1,,1,,1,8,1,1,,2,0,0,1,,1,,1,0,0,,0,4,4,4,17,26,,,,,,,,,9,,,,,,,,,2,0,3,4,,0,0,,5,0,1,2,2
59602,2016,3,72,1,1,1,1,,16,3,2,,1944,,12,5,2,2,1,3,2,5,2,3,1,1,6,4,14,1,2,,6,1,2,1,,1,1,1,2,,3,,1,1,,2,,,1,7,1,1,4,2,1,5,2,1,4,2,1,5,2,2,4,2,2,5,1,1,1,,2,,,2,,,2,7,1,1,,1,,,5,5,1,1,2,1,2,1,1,3,2,1,2,3,3,3,2,2,1,1,3,1,4,5,1,2,3,,,,,3,4,2,3,2,2,4,2,3,2,,2,2,1,2,1,2,2,,,,,,,1,4,2,,,,,,,2,2,2,2,,4,,,3,1,1,1,,,,,,,,3,1,3,3,3,5,,,,,,,,,,3,1,1,,,,,3,3,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,112,40,,1,1,2,50,1,2,,,,,2,2,,,2,3,4,2," ",,,,2,,,,2,,7,,,7,,,1,,4,21,2,2,1,2000,1,,,,,2,,2,3,3,3,3,3,3,,2,,,,,0,0,0,0,0,10,,1,3,,,3,3,52.1,54.2,62.4,,2,,2,2,4,3,,2,2,,,,,,,,,,,,5,,,,,,,,,,,,3,3,3,12,,0,0,0,1,0,1,0,2,,1,1,1,0,1,0,1,4,,0,,,,0,0,3,5,0,1,3,2
59603,2016,4,43,2,1,1,1,,12,1,0,5,1973,,4,2,2,2,1,3,4,4,1,2,1,1,6,4,14,1,2,,4,2,2,3,2,2,1,1,2,1,3,3,2,1,3,1,3,1,1,,1,2,4,2,2,4,2,2,5,2,1,4,2,1,4,2,2,4,2,1,2,,,,1,2,,,2,6,3,3,2,2,3,1,7,7,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,3,3,1,1,4,,,2,,,1,2,2,1,2,1,2,2,2,3,1,1,4,1,1,4,,3,1,1,1,1,1,1,2,2,2,2,4,5,1,3,,1,1,3,2,3,2,2,2,2,,,,,,,1,,10,0,,7,0,1,3,,1,1,,,,,1,1,1,601,10,9,601,1,1,3201,1.913987023,2.520956015,1.913987023,1,1,94,40,,1,1,2,50,1,,,3,1,2,,,3,,,,,," ",2,1,1,,8,3,1,,,,,,,,,1,,4,26,2,,,,,,,,,2,,,,,,,,,,,2,2,2,2,,,,,,,,1,5,,9,5,3,21.8,45.4,6.9,,,,,,,,,,,1,1,1,8,1,1,1,2,2,1,34,5,1,1,1,0,1,1,1,1,1,8,0,,,,,,0,0,0,1,0,1,0,2,5,,0,0,1,1,0,0,2,2,,2,4,,0,,3,3,1,,,
59604,2016,5,55,2,1,1,1,,18,4,0,,1961,,8,2,2,2,1,2,2,3,2,3,1,1,6,4,14,1,1,,3,,,,,,,,,,,,1,2,1,3,,2,2,3,1,1,4,2,2,4,2,1,5,2,2,5,2,1,4,2,2,5,1,2,1,,1,,,4,,,3,0,4,6,,3,,,5,9,1,1,1,2,3,2,1,3,1,3,2,2,,1,1,2,1,1,3,2,5,4,1,2,3,,,,,3,3,1,3,4,2,4,1,3,4,,1,1,1,1,1,1,1,,,,,,,1,4,2,,,,,,,2,2,2,2,,4,,,3,1,1,2,,,,,,,,2,,3,3,1,3,,,,,,,,,,3,1,1,,,,,3,3,1,601,10,9,601,1,1,3201,1.435490267,1.890717011,1.435490267,1,1,74,40,,1,1,2,50,1,1,,,,,2,2,,,2,1,2,2," ",,,,1,,,,2,1,7,4,5,6,6,7,1,,4,26,2,1,1,2006,1,1,0,1,0,2,4,1,4,2,4,2,2,4,,2,,,,,0,0,0,0,0,10,1,1,4,1,2,4,3,39.7,55.9,30.9,1,1,2016,2,2,4,4,15,2,2,,,,,,,,,,,,1,,,,,,,,,,,,4,4,4,18,29,1,1,1,1,1,1,1,7,,0,1,1,1,0,0,0,3,,3,,,,0,0,,4,1,3,3,3
59605,2016,6,53,2,1,1,1,1,14,2,0,8,1963,,8,7,2,1,1,2,2,4,0,3,2,1,6,4,14,1,1,,3,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,2,,2,1,1,,4,,,3,0,4,3,1,3,3,3,,,1,1,,,1,2,1,2,3,3,2,2,2,3,2,2,2,2,3,1,4,5,1,3,2,5,3,4,6,3,5,2,3,3,2,4,,2,1,2,,,,,,,,2,2,1,,4,3,,,2,3,1,1,1,1,1,,,,,,,5,1,3,1,1,1,2,3,3,2,2,1,2,,,3,3,1,3,1,,0,2,,2,0,,2,3,1,1,,,,,2,2,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,111,62,,1,1,2,75,6,,,4,1,2,2,,2,,2,,,2," ",3,2,2,2,9,3,1,,,7,7,7,7,7,7,1,,,20,2,2,1,1995,1,1,0,0,30,1,,2,4,2,4,2,2,4,,2,1,1,1,1,,,,,,,,1,4,,,4,3,44.6,66,33.4,,2,2014,2,2,4,,,2,2,1,8,1,,1,1,1,2,2,1,24,1,1,0,1,,1,1,1,1,1,,0,4,4,4,18,36,,,,,,,,,9,1,,,,,,,,2,0,3,6,,0,0,4,4,1,3,3,3
59606,2016,7,50,1,1,1,1,2,14,1,0,6,1966,,10,1,2,2,1,2,2,3,0,3,2,1,6,4,14,3,,2,3,2,2,2,2,1,1,1,1,1,2,3,1,2,1,2,2,1,1,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,1,1,2,,,2,4,,,3,1,4,6,1,3,4,2,2,9,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,3,5,3,2,4,,,2,,,2,1,1,1,1,1,1,1,3,2,1,1,4,1,1,4,,1,1,1,2,2,,2,2,2,2,,4,4,2,4,1,1,1,2,3,3,2,2,2,1,,,,,,,1,,0,40,,5,0,3,3,,1,1,,,,,1,1,1,601,10,9,601,1,1,3201,1.435490267,1.890717011,1.435490267,1,1,102,61,,1,1,2,75,0,,,1,1,4,,,4,,,,,," ",2,1,4,,8,3,1,,,,,,,,,1,,4,26,2,,,,,,,,,2,,,,,,,,,,,2,1,5,1,,,,,,,,1,3,,26,3,3,80.7,92.1,86,,,,,,,,,,,1,2,1,1,1,1,1,2,2,2,28,5,1,0,1,1,1,1,1,1,1,9,1,,,,,,1,1,1,1,1,1,1,7,7,,1,1,1,1,1,1,6,2,,3,6,0,0,,3,3,0,,,
59607,2016,8,23,2,3,2,3,2,11,1,0,,1993,,11,2,2,1,1,6,3,4,2,1,2,2,2,5,24,,,,5,2,1,2,1,2,3,1,2,2,2,3,2,1,3,2,1,3,2,1,1,1,4,2,2,5,1,1,5,2,1,4,2,1,4,2,2,5,2,2,1,2,2,,,2,,,2,5,2,2,,1,,,5,5,1,1,2,2,1,1,2,2,2,2,1,3,2,3,1,2,2,3,2,3,4,5,3,2,1,,,,,2,4,2,3,1,1,4,1,1,1,,1,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,3,3,3,3,3,3,,,,,,,,,,3,1,1,,,,,3,3,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,81,62,,1,2,2,75,6,2,,,,,2,2,,,1,2,1,2," ",,,,2,,,,2,,7,7,7,8,8,8,1,,4,16,2,1,1,2010,1,2,0,3,0,2,20,2,3,3,5,5,3,5,,2,,,,,0,0,10,0,0,0,1,2,,,11,,,20.1,38.4,6.9,2,1,2010,2,2,4,3,30,2,1,,,,,,,,,,,35,2,,,,,,,,,,,,3,1,3,14,39,1,1,1,1,1,1,1,7,,3,1,1,1,1,0,0,4,,3,,,,,0,3,1,1,1,1,1
59608,2016,9,45,1,2,1,2,2,12,1,0,6,1971,,,1,2,2,1,5,3,5,0,3,2,2,2,5,24,3,,1,,2,1,2,2,2,2,1,,2,2,3,1,2,2,1,1,,1,,1,1,4,2,1,4,2,1,5,2,2,5,1,1,4,2,1,4,2,,1,,,,1,1,60,10,1,6,1,1,1,1,4,,5,5,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,1,5,3,3,4,,,2,,,2,2,2,,2,2,2,2,8,3,1,,,1,2,1,,3,2,2,2,2,2,2,2,2,2,,4,1,2,6,1,1,1,2,3,3,,2,,,,,,,,,1,,0,0,1,7,0,1,3,,1,1,,,,,1,1,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,140,40,,1,1,2,50,1,,,4,3,2,,,3,,,,,," ",2,4,1,,5,7,9,,,,,,,,,1,,4,20,3,,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,,1,3,,13,3,4,20.1,38.4,6.9,,,,,,,,,,,1,2,2,2,1,2,1,1,2,1,,0,1,0,0,0,1,0,1,0,1,4,0,,,,,,0,0,0,,0,0,0,,17,,1,1,1,0,1,1,5,0,,3,6,1,1,,4,3,0,,,
59609,2016,10,71,1,1,1,1,,14,2,0,,1945,,9,5,2,2,3,1,4,3,2,1,1,2,2,5,24,1,2,,6,,,,,,,,,,,,1,1,3,2,1,1,2,7,1,1,5,1,2,5,1,2,4,1,,5,2,1,4,2,2,5,1,1,1,2,2,,,4,,,3,0,4,6,,3,,,9,9,2,,2,1,1,2,1,1,1,3,3,3,3,3,1,1,1,1,3,1,2,5,4,3,1,,,,,3,4,2,2,3,1,4,1,3,2,,1,1,1,1,1,1,1,,,,,,,1,4,2,,,,,,,1,2,2,1,1,4,,,6,1,1,2,,,,,,,,3,,1,3,5,5,,,,,,,,,,3,1,1,,,,,3,3,1,601,10,9,601,1,1,3201,.9569935115,1.260478007,.9569935115,1,1,77,40,,1,1,2,20,1,2,,,,,2,2,,,1,3,2,2," ",,,,2,,,,2,1,7,8,7,8,8,8,1,,4,20,3,2,1,1999,1,6,0,5,0,1,,2,4,4,2,4,2,4,,2,,,,,0,0,0,0,0,10,,1,3,2,,3,3,32,25.4,39.4,,2,2011,2,2,4,1,,2,2,,,,,,,,,,,,6,,,,,,,,,,,,2,2,4,12,40,1,1,1,1,1,1,1,7,,5,1,0,1,,0,0,,,1,,,,0,0,,5,0,3,3,3
